fips,county,state,population,preventable_stays,preventable_black,preventable_white,uninsured,primary_care,mental_health,dentists,other_providers,flu_vaccinations,mammogram,broadband,pct_white,pct_black,pct_hispanic,poverty,log_preventable,disparity_count,log_uninsured,log_primary_care,log_mental_health,log_dentists,log_other_providers,log_population,primary_care_per_100k,mental_health_per_100k
01021,Chilton County,AL,46431,2652,4003,2345,0.1318174548,2.208773e-4,8.399561e-4,2.615291e-4,3.445974e-4,0.4,0.37,0.8212942919,0.7794576899,0.0978656501,0.1009024143,0.215,7.88344635413774,770,0.1238247077667582,2.2085291020063015e-4,8.396035342877982e-4,2.6149490722650207e-4,3.445380399524789e-4,10.745722618580869,4.7571083974069046e-4,0.0018090415885938275
01023,Choctaw County,AL,12252,2911,2476,2837,0.1116294207,3.989468e-4,1.632387e-4,4.823539e-4,5.713353e-4,0.34,0.47,0.7174333204,0.5685602351,0.4046686255,0.0125693764,0.358,7.976595409316577,-44,0.1058268855204939,3.9886724188439594e-4,1.632253780130687e-4,4.822376047531172e-4,5.711721501268035e-4,9.413444467952665,0.0032561769507019264,0.0013323432908912832
01025,Clarke County,AL,22337,2715,2409,2642,0.1148128868,3.954306e-4,0.0010296817,3.553187e-4,9.849129e-4,0.28,0.33,0.70989115,0.5139454716,0.4522988763,0.012803868,0.287,7.906915488678587,-52,0.1086865763005005,3.953524379247546e-4,0.001029151941422249,3.5525558925994126e-4,9.844281915272627e-4,10.013999775333557,0.0017702941308143441,0.004609758248645745
01031,Coffee County,AL,55643,3229,4757,3126,0.115180798,5.168531e-4,0.0010962745,3.466837e-4,8.266988e-4,0.36,0.44,0.8687919463,0.6795643657,0.1636324425,0.0994374854,0.21,8.080237416216702,908,0.10901654243972839,5.167195774421643e-4,0.001095674029923661,3.466236190916295e-4,8.26357272760931e-4,10.926711562628427,9.288735330589651e-4,0.001970193016192513
01033,Colbert County,AL,58361,3801,4664,3710,0.1068873768,6.611685e-4,5.997156e-4,4.997157e-4,0.0017306078,0.44,0.35,0.7886195648,0.7725364541,0.1549493669,0.0365141105,0.205,8.243282523048375,557,0.10155191124286916,6.609500244014314e-4,5.995358424648391e-4,4.995908836895941e-4,0.001729112023807164,10.974403137513908,0.0011328943986566372,0.0010275965113688936
01035,Conecuh County,AL,11174,8851,10910,8423,0.1057656996,4.413842e-4,8.054412e-4,1.784758e-4,4.474673e-4,0.42,0.38,0.6806537102,0.4975836764,0.4436191158,0.0308752461,0.431,9.08839870117094,278,0.10053803581156112,4.412868186479517e-4,8.051170063043326e-4,1.7845987508926392e-4,4.473672163625987e-4,9.321344930019094,0.003950100232683014,0.007208172543404331
01039,Covington County,AL,37952,5148,6745,5137,0.1103448276,4.79693e-4,7.904722e-4,3.723206e-4,0.001106661,0.37,0.44,0.7889617109,0.8250421585,0.1231292159,0.0207894182,0.224,8.546557800046141,610,0.10467062257631103,4.7957798409290365e-4,7.901599413942352e-4,3.7225130588454554e-4,0.0011060491021161784,10.544077482357398,0.0012639465640809442,0.002082820931703204
01041,Crenshaw County,AL,13101,2631,1612,2511,0.131403118,2.293052e-4,6.869705e-4,2.303263e-4,0.0010686207,0.36,0.45,0.68,0.6991832685,0.2302877643,0.0232806656,0.271,7.875499292445208,-118,0.12345855980079447,2.292789135809321e-4,6.867346437775006e-4,2.3029977897009638e-4,0.0010680501313444842,9.48044384215367,0.0017502877642928021,0.005243649339745058
01045,Dale County,AL,49871,2899,3060,2890,0.1049121135,2.837339e-4,0.0014036213,3.431293e-4,8.421728e-4,0.4,0.4,0.8446557742,0.6658779652,0.2118265124,0.0722864992,0.22,7.9724660159745655,85,0.09976579651249923,2.836936551492839e-4,0.0014026371444365313,3.4307044460471866e-4,8.418183714669869e-4,10.81719495047468,5.689356539872873e-4,0.002814504020372561
01047,Dallas County,AL,36165,3264,4154,2362,0.0973662639,7.177224e-4,7.742292e-4,3.535779e-4,8.848334e-4,0.39,0.41,0.7928775298,0.2649523019,0.7059311489,0.0113092769,0.465,8.09101504171053,648,0.09291300332583831,7.174649604508902e-4,7.739296391820376e-4,3.535154060647665e-4,8.844421656949068e-4,10.495847079283381,0.0019845773537951056,0.0021408245541269183
